party_id,position,eu_salience,lrecon,lrecon_salience,galtan,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership
613,7.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,4.0,4.5,5.0,4.5,4.5,6.0,3.0,5.0,4.0,6.0,7.0,6.0,5.0,4.0,3.0,6.0,3.0,4.5,3.0,5.0,1.0,3.0,3.0,3.5,6.0
626,7.0,9.0,6.0,7.0,2.0,6.0,6.0,7.0,5.0,5.0,5.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,8.0,6.0,6.0,2.0,3.0,5.0,4.0,2.5,2.0,5.0,3.0,3.0,3.0,2.0,9.0
627,2.5,6.5,1.0,9.0,2.5,5.0,2.0,4.0,3.5,6.0,5.0,3.0,6.0,0.5,9.5,3.5,6.0,0.5,0.0,1.0,2.0,1.0,0.0,2.5,4.0,2.0,8.0,5.0,2.0,6.5,10.0,7.0,7.5
628,1.0,8.5,7.5,4.0,8.5,8.0,9.0,9.0,8.5,0.0,10.0,7.0,2.0,6.5,4.0,7.0,1.0,6.5,5.5,5.0,8.5,8.0,6.0,10.0,9.5,7.0,9.0,6.5,9.5,4.0,8.5,6.0,9.0
701,6.0,6.0,4.5,6.5,6.0,4.0,5.0,5.0,3.5,4.5,5.5,2.5,4.5,4.0,6.0,7.0,4.0,3.5,4.5,4.0,6.0,5.0,5.5,6.0,5.5,7.0,4.5,6.0,0.5,3.0,2.0,2.0,4.5
702,6.0,7.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,5.0,4.5,2.5,4.0,6.0,5.0,7.0,4.0,6.0,6.0,5.5,6.5,3.5,4.5,6.0,5.0,6.0,3.5,6.0,0.5,3.0,1.5,2.0,6.0
703,6.0,5.5,3.5,7.0,2.5,6.5,3.5,4.5,3.5,1.5,3.0,2.5,2.0,3.0,7.0,4.5,6.0,2.0,3.5,3.0,4.5,2.0,2.0,4.0,3.0,4.5,4.5,4.5,0.5,4.0,3.5,4.0,3.5
705,6.0,6.0,3.0,4.5,2.0,7.5,3.0,3.5,4.5,1.0,2.0,3.0,2.0,2.5,6.5,0.5,10.0,2.0,3.5,3.0,4.0,2.0,2.0,4.0,2.5,2.5,5.5,4.0,0.5,7.0,5.0,5.0,2.0
707,3.0,5.0,1.5,7.5,3.0,4.5,2.5,4.5,4.0,3.5,2.5,2.0,3.5,1.5,8.0,6.0,3.5,2.0,2.5,2.0,6.0,2.5,2.0,3.0,6.0,4.0,6.5,4.0,0.5,6.0,7.5,6.0,7.0
709,2.0,4.0,0.0,9.0,3.0,3.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,10.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,9.0,2.0,0.0,8.0,9.0,6.0,2.0
