,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
774,4.0,4.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,1.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0
782,2.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,1.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,5.0
788,5.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,1.0,5.0,2.0,,2.0,5.0,5.0,4.0
793,4.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,4.0
832,4.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,5.0,4.0
841,5.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0
855,5.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,,1.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,,4.0,4.0
861,5.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,,5.0,5.0,2.0,,4.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0
873,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,5.0
895,2.0,4.0,5.0,2.0,5.0,1.0,4.0,2.0,5.0,4.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0
901,2.0,5.0,4.0,1.0,5.0,4.0,5.0,1.0,5.0,5.0,1.0,4.0,,5.0,5.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0
916,5.0,1.0,2.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0
917,5.0,2.0,2.0,2.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0
934,4.0,2.0,4.0,1.0,2.0,4.0,5.0,1.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0
948,4.0,2.0,2.0,5.0,1.0,1.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,5.0
974,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,5.0,2.0,2.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,5.0,4.0
984,5.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0
989,5.0,2.0,2.0,4.0,2.0,5.0,5.0,1.0,2.0,2.0,2.0,5.0,,1.0,2.0,4.0,2.0,5.0,2.0,2.0,1.0,5.0,4.0,2.0,2.0,5.0,4.0,2.0
