,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
1812,5.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,2.0,5.0,4.0,1.0,4.0,2.0,2.0,4.0
1818,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0
1821,5.0,1.0,,5.0,1.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,1.0,2.0,5.0,4.0,2.0,5.0,2.0,1.0,1.0,5.0,5.0,,2.0,4.0,5.0,4.0
1841,4.0,2.0,2.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0
1848,5.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,5.0,5.0
1862,5.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0
1866,5.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0
1877,2.0,2.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0
1902,5.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,4.0,1.0,5.0,2.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0
1906,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,4.0
1928,4.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0
1946,5.0,1.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0
1950,2.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0
1971,5.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0
1977,4.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0
1978,5.0,1.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,4.0,4.0
1980,5.0,1.0,1.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,4.0,,2.0,4.0,4.0,1.0,4.0,5.0,1.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,5.0
1986,4.0,2.0,2.0,4.0,2.0,2.0,4.0,,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,5.0
1994,4.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,4.0,1.0,4.0,2.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,5.0,5.0
2001,5.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0
2034,4.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2049,5.0,1.0,1.0,2.0,4.0,4.0,5.0,1.0,,,1.0,5.0,1.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0,5.0,5.0,1.0,2.0,2.0,5.0,5.0
2050,5.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0
2059,1.0,5.0,5.0,1.0,5.0,2.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,4.0,5.0
2066,4.0,2.0,2.0,2.0,4.0,2.0,5.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,5.0
2104,5.0,1.0,1.0,5.0,1.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0
2134,5.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,5.0,5.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0,5.0,4.0,4.0,1.0,4.0,2.0,4.0
2152,5.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,5.0,5.0,2.0,5.0,4.0,2.0,4.0
2160,2.0,5.0,5.0,4.0,5.0,2.0,5.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,1.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0
2167,5.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,5.0
2172,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,1.0,5.0,4.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,2.0
2176,5.0,1.0,1.0,5.0,2.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0
2178,5.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,2.0
2181,5.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,,2.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0
2185,5.0,2.0,1.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0,4.0,2.0,1.0,1.0,5.0,4.0,5.0
2193,4.0,4.0,5.0,2.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
2196,4.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
2198,5.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,4.0,5.0,4.0,1.0,2.0,2.0,5.0,5.0
2204,5.0,2.0,2.0,4.0,2.0,1.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,2.0,5.0,5.0
2229,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,4.0,5.0
2234,5.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0
2260,4.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,5.0
2286,2.0,4.0,4.0,1.0,4.0,4.0,5.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0
2294,5.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,1.0,5.0,5.0,4.0,1.0,2.0,1.0,5.0,5.0
2361,4.0,2.0,1.0,2.0,4.0,5.0,5.0,1.0,5.0,2.0,2.0,5.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,2.0,4.0,,4.0,5.0,5.0
2371,4.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,5.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0
2382,5.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,5.0,4.0,5.0
2388,5.0,1.0,1.0,4.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0
2401,5.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,5.0,5.0
2428,4.0,2.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,1.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,2.0,4.0,4.0,4.0
2430,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0
