,id,party,party_name,party_id,position,eu_salience,eu_dissent,eu_blur,lrecon,lrecon_blur,lrecon_dissent,lrecon_salience,galtan,galtan_blur,galtan_dissent,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,party_a_econ,party_b_econ,party_c_econ,gender,dob,lrecon_self,galtan_self,cname,eu_position_sd,lrecon_sd,galtan_sd,eu_econ_require,eu_political_require,eu_googov_require
326,9,5,HSS,3103,5.0,3.0,3.0,,2,,,4.0,5,3.0,,4.0,4.0,5.0,2.0,2.0,,0.0,1.0,1.0,6.0,3.0,2.0,4.0,1.0,1.0,5.0,4.0,2.0,2.0,3.0,7.0,9.0,4.0,0.0,1,3.0,1.0,7.0,9.0,,,3.0,3.0,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
327,9,6,HSLS,3104,5.0,1.0,,,7,,,9.0,3,,,3.0,5.0,5.0,1.0,,,1.0,,7.0,9.0,7.0,1.0,8.0,8.0,8.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,6.0,0.0,0,2.0,3.0,4.0,9.0,,,6.0,3.0,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
328,9,7,HSU,3108,5.0,0.0,,,1,,,,5,,,0.0,4.0,,0.0,,,0.0,,0.0,8.0,,0.0,1.0,0.0,0.0,6.0,6.0,,,,,,,,,,0.0,,10.0,,,,,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
329,9,8,SDSS,3110,4.0,0.0,,,2,,,2.0,3,,,0.0,4.0,,0.0,,,0.0,,2.0,3.0,,0.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,,,,,0,,0.0,,10.0,,,,,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
330,9,9,HDSSB,3107,5.0,0.0,,,,,,2.0,7,,,,7.0,,0.0,,,0.0,,,,,0.0,,,,,7.0,,7.0,7.0,,,2.0,,,,0.0,,10.0,,,,,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
331,9,10,ZZ,3116,2.0,8.0,4.0,,0,,1.0,7.0,4,9.0,,3.0,4.0,6.0,6.0,2.0,,2.0,,1.0,9.0,4.0,1.0,,1.0,2.0,1.0,3.0,1.0,5.0,5.0,2.0,8.0,4.0,4.0,2,8.0,9.0,10.0,8.0,,1.0,1.0,1.0,1.0,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
332,9,11,MB 365,3117,4.0,0.0,,,2,,,3.0,5,,,2.0,5.0,,0.0,,,0.0,,2.0,4.0,,0.0,2.0,5.0,3.0,4.0,6.0,5.0,4.0,6.0,,7.0,4.0,0.0,0,2.0,0.0,1.0,9.0,,,4.0,4.0,4.0,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
333,9,12,NS-R,3118,4.0,0.0,,,6,,,8.0,5,,,1.0,5.0,,0.0,,,0.0,,6.0,8.0,,0.0,8.0,7.0,7.0,6.0,4.0,4.0,4.0,5.0,,4.0,3.0,0.0,0,2.0,0.0,1.0,9.0,,,7.0,,,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
334,9,13,IDS,3106,7.0,9.0,1.0,,4,,,5.0,3,1.0,,8.0,2.0,4.0,5.0,2.0,4.0,1.0,,3.0,6.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,6.0,0.0,0.0,0,3.0,0.0,2.0,8.0,,6.0,5.0,,4.0,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
335,9,14,HKS,3119,2.0,7.0,3.0,,7,,,2.0,8,1.0,,9.0,9.0,8.0,7.0,2.0,9.0,5.0,2.0,4.0,3.0,,0.0,6.0,5.0,6.0,8.0,9.0,7.0,9.0,9.0,6.0,8.0,7.0,0.0,4,7.0,8.0,7.0,8.0,,2.0,2.0,1.0,1.0,3.0,9,5.0,2.0,1968.0,4.0,3.0,,,,,,,
